Date;BFPD;BOPD;BSW;BWPD;RPM
17/01/2022;1373;46;96,62;1327;300
22/01/2022;1385;53;96,19;1332;300
23/01/2022;1371;40;97,08;1331;300
25/01/2022;1365;40;97,03;1325;300
26/01/2022;1374;41;96,99;1333;300
29/01/2022;1375;56;95,94;1319;300
31/01/2022;1378;75;94,59;1303;300
2/02/2022;1384;10;99,25;1374;300
4/02/2022;1372;55;96;1317;300
5/02/2022;1384;38;97,28;1346;300
6/02/2022;1375;20;98,55;1355;300
7/02/2022;1368;20;98,55;1348;300
8/02/2022;1379;16;98,83;1363;300
9/02/2022;1366;31;97,73;1335;300
11/02/2022;1387;15;98,92;1372;300
13/02/2022;1380;32;97,66;1348;300
14/02/2022;8387;56;99,33;8331;300
15/02/2022;1375;9;99,33;1366;300
17/02/2022;1379;50;96,37;1329;300
18/02/2022;1378;109;92,11;1269;300
19/02/2022;1369;108;92,11;1261;300
20/02/2022;1380;48;96,53;1332;300
22/02/2022;1381;53;96,19;1328;300
24/02/2022;1375;58;95,77;1317;300
26/02/2022;1364;69;94,94;1295;300
27/02/2022;1353;68;94,94;1285;300
28/02/2022;1341;68;94,94;1273;300
1/03/2022;1330;67;94,93;1263;300
2/03/2022;1339;42;96,85;1297;300
3/03/2022;1328;42;96,85;1286;300
5/03/2022;1334;40;96,99;1294;300
6/03/2022;1330;54;95,94;1276;300
7/03/2022;1317;53;95,94;1264;300
11/03/2022;1347;72;94,67;1275;300
13/03/2022;1330;52;96,06;1278;300
14/03/2022;1334;70;94,74;1264;300
15/03/2022;1322;69;94,74;1253;300
17/03/2022;1286;55;95,72;1231;300
18/03/2022;1309;56;95,71;1253;300
19/03/2022;1300;51;96,1;1249;300
21/03/2022;1295;45;96,56;1250;300
22/03/2022;1288;44;96,56;1244;300
24/03/2022;1282;42;96,72;1240;300
25/03/2022;1304;44;96,62;1260;300
26/03/2022;1293;44;96,57;1249;300
31/03/2022;1393;57;95,9;1336;300
1/04/2022;1390;58;95,83;1332;300
2/04/2022;1389;58;95,83;1331;300
7/04/2022;1389;80;94,26;1309;300
8/04/2022;1392;80;94,26;1312;300
10/04/2022;1390;67;95,17;1323;300
11/04/2022;1323;;95,12;1323;300
12/04/2022;1388;68;95,12;1320;300
13/04/2022;1393;77;94,5;1316;300
14/04/2022;1393;77;94,5;1316;300
15/04/2022;1390;76;94,56;1314;300
16/04/2022;1395;77;94,49;1318;300
20/04/2022;1394;59;95,77;1335;300
21/04/2022;1391;59;95,77;1332;300
26/04/2022;1395;61;95,63;1334;300
27/04/2022;1372;52;96,21;1320;300
28/04/2022;1388;53;96,21;1335;300
30/04/2022;1395;79;94,35;1316;300
1/05/2022;1390;47;96,6;1343;300
2/05/2022;1390;47;96,6;1343;300
5/05/2022;1404;54;96,12;1350;300
6/05/2022;1380;44;96,79;1336;300
7/05/2022;1388;35;97,47;1353;300
9/05/2022;1391;61;95,65;1330;300
10/05/2022;1390;60;95,65;1330;300
12/05/2022;1391;62;95,54;1329;300
13/05/2022;1390;59;95,78;1331;300
14/05/2022;1384;60;95,67;1324;300
19/05/2022;1390;72;94,82;1318;300
21/05/2022;1402;40;97,11;1362;300
23/05/2022;1385;40;97,08;1345;300
24/05/2022;1386;40;97,08;1346;300
25/05/2022;1382;43;96,9;1339;300
26/05/2022;1389;39;97,17;1350;300
27/05/2022;1384;39;97,17;1345;300
28/05/2022;1386;43;96,9;1343;300
29/05/2022;1383;128;90,73;1255;300
30/05/2022;1375;127;90,73;1248;300
31/05/2022;1302;110;91,58;1192;300
1/06/2022;1441;109;92,44;1332;300
3/06/2022;1332;75;94,36;1257;300
14/06/2022;1389;59;95,72;1330;300
2/07/2022;1380;49;96,42;1331;300
3/07/2022;1379;49;96,42;1330;300
4/07/2022;1379;34;97,51;1345;300
5/07/2022;1377;34;97,51;1343;300
6/07/2022;1380;36;97,39;1344;300
7/07/2022;1380;36;97,39;1344;300
10/07/2022;1374;62;95,5;1312;300
11/07/2022;1384;62;95,5;1322;300
12/07/2022;1369;121;91,13;1248;300
13/07/2022;1383;123;91,13;1260;300
14/07/2022;1640;114;93,03;1526;300
15/07/2022;1384;97;93,01;1287;300
17/07/2022;1393;105;92,46;1288;300
18/07/2022;1371;103;92,46;1268;300
20/07/2022;1371;96;93,02;1275;300
21/07/2022;1390;103;92,56;1287;300
22/07/2022;1380;103;92,56;1277;300
23/07/2022;1388;100;92,81;1288;300
24/07/2022;1383;99;92,81;1284;300
25/07/2022;1389;93;93,3;1296;300
27/07/2022;1387;96;93,05;1291;300
29/07/2022;1384;96;93,05;1288;300
30/07/2022;1373;94;93,17;1279;300
1/08/2022;1390;65;95,3;1325;300
2/08/2022;1373;54;96,05;1319;300
4/08/2022;1391;55;96,05;1336;300
6/08/2022;1385;51;96,29;1334;300
8/08/2022;1375;48;96,53;1327;300
11/08/2022;1369;84;93,86;1285;300
12/08/2022;1382;85;93,86;1297;300
15/08/2022;1380;76;94,52;1304;300
16/08/2022;1381;79;94,3;1302;300
17/08/2022;1385;76;94,52;1309;300
20/08/2022;1384;59;95,77;1325;300
21/08/2022;1381;58;95,77;1323;300
25/08/2022;1390;41;97,02;1349;300
26/08/2022;1385;36;97,43;1349;300
27/08/2022;1234;32;97,43;1202;300
4/09/2022;1385;76;94,49;1309;300
5/09/2022;1380;76;94,49;1304;300
6/09/2022;1378;88;93,61;1290;300
7/09/2022;1377;88;93,61;1289;300
8/09/2022;1440;48;96,64;1392;300
10/09/2022;1379;61;95,54;1318;300
11/09/2022;1383;70;94,95;1313;300
15/09/2022;1375;55;95,99;1320;300
16/09/2022;1380;47;96,63;1333;300
17/09/2022;1377;45;96,76;1332;300
19/09/2022;1369;65;95,24;1304;300
20/09/2022;1312;62;95,24;1250;300
21/09/2022;1382;48;96,5;1334;300
22/09/2022;1378;48;96,5;1330;300
26/09/2022;1378;65;95,25;1313;300
27/09/2022;1373;65;95,26;1308;300
2/10/2022;1375;97;92,95;1278;300
7/10/2022;1381;71;94,87;1310;300
8/10/2022;1371;70;94,87;1301;300
10/10/2022;1384;121;91,24;1263;300
11/10/2022;1347;118;91,24;1229;300
12/10/2022;1371;64;95,31;1307;300
13/10/2022;1367;64;95,31;1303;300
15/10/2022;1369;83;93,93;1286;300
16/10/2022;1370;75;94,51;1295;300
17/10/2022;1387;76;94,51;1311;300
18/10/2022;1377;69;94,99;1308;300
19/10/2022;1383;69;94,98;1314;300
20/10/2022;1377;79;94,23;1298;300
23/10/2022;1379;104;92,44;1275;300
24/10/2022;1377;104;92,44;1273;300
26/10/2022;1372;46;96,63;1326;300
27/10/2022;1373;46;96,63;1327;300
29/10/2022;1375;50;96,37;1325;300
30/10/2022;1376;50;96,37;1326;300
18/03/2023;1352;36;97,35;1316;300
20/03/2023;1346;85;93,67;1261;300
21/03/2023;1358;66;95,11;1292;300
29/03/2023;1353;140;89,67;1213;300
31/03/2023;1354;107;92,07;1247;300
1/04/2023;1351;100;92,61;1251;300
3/04/2023;1357;36;97,31;1321;300
4/04/2023;1352;36;97,32;1316;300
5/04/2023;1354;31;97,73;1323;300
7/04/2023;1357;49;96,42;1308;300
8/04/2023;1358;39;97,15;1319;300
9/04/2023;1357;29;97,88;1328;300
11/04/2023;1352;76;94,36;1276;300
12/04/2023;1354;64;95,31;1290;300
13/04/2023;1357;64;95,31;1293;300
15/04/2023;1354;56;95,87;1298;300
16/04/2023;1352;70;94,82;1282;300
20/04/2023;1346;111;91,77;1235;300
21/04/2023;1345;111;91,77;1234;300
24/04/2023;1346;94;92,99;1252;300
25/04/2023;1350;111;91,75;1239;300
30/04/2023;1354;128;90,56;1226;300
1/05/2023;1347;133;90,14;1214;300
2/05/2023;1345;128;90,5;1217;300
3/05/2023;1336;129;90,36;1207;300
4/05/2023;1346;111;91,72;1235;300
7/05/2023;1357;119;91,24;1238;300
9/05/2023;1356;119;91,22;1237;300
16/05/2023;1343;115;91,4;1228;300
17/05/2023;1342;134;89,99;1208;300
18/05/2023;1333;133;89,99;1200;300
20/05/2023;1337;108;91,89;1229;300
21/05/2023;1338;111;91,68;1227;300
22/05/2023;1336;114;91,46;1222;300
24/05/2023;1219;113;90,77;1106;300
25/05/2023;1339;97;92,79;1242;300
29/05/2023;1343;84;93,73;1259;300
30/05/2023;1340;70;94,79;1270;300
2/06/2023;1336;77;94,22;1259;300
3/06/2023;1336;77;94,22;1259;300
4/06/2023;1334;77;94,23;1257;300
6/06/2023;1329;64;95,18;1265;300
7/06/2023;1308;74;94,34;1234;300
8/06/2023;1327;86;93,51;1241;300
12/06/2023;1337;28;97,88;1309;300
13/06/2023;1331;131;90,13;1200;300
14/06/2023;1366;135;90,13;1231;300
16/06/2023;1334;112;91,59;1222;300
18/06/2023;1289;129;90,01;1160;300
20/06/2023;1326;153;88,46;1173;300
21/06/2023;1325;153;88,47;1172;300
22/06/2023;1332;150;88,77;1182;300
24/06/2023;1330;139;89,52;1191;300
26/06/2023;1333;112;91,57;1221;300
27/06/2023;1338;113;91,57;1225;300
28/06/2023;1343;123;90,81;1220;300
30/06/2023;1329;105;92,11;1224;300

